,k
2025-08-25,1.2083109959230558
2025-09-01,1.5948304874044197
2025-09-08,2.172439853718869
2025-09-15,1.4230046517172568
2025-09-22,1.3979201109656447
2025-09-29,1.3906881324515612
2025-10-06,1.1815747182417147
2025-10-13,0.7518507498021232
2025-10-20,0.773885451068227
2025-10-27,0.7759575444668296
2025-11-03,0.7518752755696253
2025-11-10,1.1549590843702238
2025-11-17,1.2645950516504294
2025-11-24,1.1671524727455955
2025-12-01,1.0982634281958015
2026-02-09,1.7586236375934938
2026-02-16,2.0767034396832686
2026-02-23,1.7127929266032436
2026-03-02,1.5503852229569277
2026-03-09,1.6826423050493224
2026-03-16,1.4468491293926857
2026-03-23,1.306319864710196
2026-03-30,1.3216240519605111
2026-04-06,1.2934757159057542
2026-04-13,1.3536916571663773
2026-04-20,1.0360482494199286
2026-04-27,1.0179994745407641
2026-05-04,1.0892923825484973
2026-05-11,1.0880318947333871
2026-05-18,1.1061010658487158
2026-05-25,1.7209260847816479
2026-06-01,1.836087622246675
