,k
2025-08-25,1.2620445562481772
2025-09-01,1.2693775891997205
2025-09-08,1.3715830134572573
2025-09-15,1.3318231840181325
2025-09-22,1.38847407077782
2025-09-29,1.028896723982228
2025-10-06,1.0056703450801747
2025-10-13,1.0578552085957167
2025-10-20,1.0672642862434323
2025-10-27,2.3313807448029045
2025-11-03,2.1300432118225756
2025-11-10,2.1304402753917366
2025-11-17,2.780497316711019
2025-11-24,2.329697365435741
2026-02-16,0.8866005508266879
2026-02-23,0.9428851750888447
2026-03-02,0.7562636491420697
2026-03-09,0.7531260476171379
2026-03-16,0.7334688704657635
2026-03-23,0.8205567934931763
2026-03-30,0.8217328714979912
2026-04-06,1.1022283007327125
2026-04-13,1.0353829542569164
2026-04-20,0.9255218710749317
2026-04-27,0.9146822327075782
2026-05-04,0.8556169027684107
2026-05-11,0.8363861073151917
2026-05-18,0.999412470540617
2026-05-25,0.9042610966747427
2026-06-01,0.7733471501274239
