,k
2025-08-25,0.9757519772441676
2025-09-01,0.9460745131998487
2025-09-08,1.0657835213302165
2025-09-15,1.0905761770179616
2025-09-22,1.121084965911488
2025-09-29,1.4244974794192289
2025-10-06,1.420388233347318
2025-10-13,1.2229396163493385
2025-10-20,1.3041280371298867
2025-10-27,1.4253523511837534
2025-11-03,0.9517225990176496
2025-11-10,0.9920809084725561
2025-11-17,1.0771170405098238
2025-11-24,1.0164418390814112
2025-12-01,1.0462275492532653
2026-01-05,1.2542875777532134
2026-01-12,1.2542875777532134
2026-01-19,1.2542875777532134
2026-02-09,2.06656260679732
2026-02-16,1.8083469292789407
2026-02-23,1.5270454167016208
2026-03-02,1.451476207931801
2026-03-09,1.3653859104509627
2026-03-16,1.4310443201029437
2026-03-23,1.5303885468557015
2026-03-30,1.7515647637057985
2026-04-06,2.1850783659523705
2026-04-13,1.7440522752666412
2026-04-20,1.5173811276970737
2026-04-27,1.2941984708692054
2026-05-04,1.1484732271351943
2026-05-11,1.028735044129953
2026-05-18,1.0851540806986641
2026-05-25,0.8882941970975935
2026-06-01,0.8550203117847758
